,0,1,2,3,4,5
217,1056.0,2774.0,,1202.0,,397.0
218,1057.0,2775.0,,1203.0,,398.0
219,1058.0,2776.0,,1204.0,,399.0
220,1059.0,2777.0,,1205.0,,400.0
221,1060.0,2778.0,,1206.0,,401.0
222,1061.0,2780.0,,1207.0,,404.0
223,1062.0,2787.0,,1210.0,,405.0
224,1063.0,2788.0,,1212.0,,406.0
225,1064.0,742.0,,1215.0,,407.0
226,1066.0,2790.0,,1219.0,,409.0
227,1069.0,2793.0,,1221.0,,410.0
228,1070.0,2794.0,,1222.0,,411.0
229,1071.0,2797.0,,1223.0,,412.0
230,1072.0,2799.0,,1226.0,,413.0
231,1073.0,2800.0,,1227.0,,415.0
232,1074.0,2804.0,,1228.0,,416.0
233,1075.0,757.0,,1229.0,,417.0
234,1076.0,2805.0,,1230.0,,418.0
235,1077.0,2807.0,,1231.0,,420.0
236,1079.0,2813.0,,1233.0,,421.0
237,1080.0,767.0,,1234.0,,422.0
238,1081.0,768.0,,1236.0,,423.0
239,1082.0,2815.0,,1237.0,,424.0
240,1083.0,770.0,,1238.0,,425.0
241,1084.0,2817.0,,1241.0,,426.0
242,1085.0,2818.0,,1244.0,,2472.0
243,1086.0,2821.0,,1248.0,,429.0
244,1087.0,774.0,,1250.0,,430.0
245,1088.0,2825.0,,1251.0,,431.0
246,1089.0,778.0,,1255.0,,432.0
247,1090.0,2826.0,,1259.0,,433.0
248,1091.0,2827.0,,1260.0,,434.0
249,1092.0,2828.0,,1261.0,,435.0
250,1094.0,2829.0,,1262.0,,436.0
251,1096.0,2832.0,,1263.0,,437.0
252,1097.0,786.0,,1264.0,,438.0
253,1099.0,2835.0,,1265.0,,439.0
254,1100.0,789.0,,1267.0,,2484.0
255,1102.0,2837.0,,1269.0,,2487.0
256,1104.0,791.0,,1284.0,,442.0
257,1108.0,2838.0,,1292.0,,443.0
258,1109.0,2839.0,,1294.0,,444.0
259,1112.0,2844.0,,1295.0,,446.0
260,1113.0,797.0,,1298.0,,447.0
261,1114.0,2845.0,,1299.0,,448.0
262,1116.0,799.0,,1300.0,,449.0
263,1119.0,2847.0,,1301.0,,451.0
264,1120.0,2848.0,,1307.0,,452.0
