,0,1,2
364,1078.0,602.0,909.0
365,1079.0,603.0,912.0
366,1080.0,604.0,923.0
367,1081.0,605.0,937.0
368,1082.0,2645.0,949.0
369,1083.0,607.0,962.0
370,1084.0,608.0,4302.0
371,1085.0,609.0,1188.0
372,1086.0,2650.0,1196.0
373,1087.0,611.0,1226.0
374,1088.0,612.0,1254.0
375,1089.0,613.0,1257.0
376,1090.0,614.0,1273.0
377,1091.0,615.0,1275.0
378,1092.0,616.0,1276.0
379,1093.0,617.0,1277.0
380,1094.0,618.0,1280.0
381,1095.0,619.0,1281.0
382,1096.0,620.0,1285.0
383,1097.0,2660.0,1302.0
384,1098.0,622.0,1305.0
385,1099.0,623.0,1309.0
386,1100.0,624.0,1314.0
387,1101.0,625.0,1315.0
388,1102.0,626.0,1320.0
389,1103.0,627.0,1324.0
390,1104.0,628.0,1325.0
391,1105.0,629.0,1329.0
392,1106.0,630.0,1331.0
393,1107.0,631.0,1334.0
394,1108.0,632.0,1336.0
395,1109.0,633.0,1340.0
396,1110.0,634.0,1345.0
397,1111.0,635.0,1346.0
398,1112.0,636.0,1348.0
399,1113.0,637.0,1354.0
400,1114.0,638.0,1359.0
401,1115.0,639.0,1360.0
402,1116.0,640.0,1363.0
403,1117.0,641.0,1369.0
404,1118.0,642.0,1370.0
405,1119.0,643.0,1378.0
406,1120.0,644.0,1383.0
407,1121.0,645.0,1385.0
408,1122.0,646.0,1397.0
409,1123.0,647.0,1399.0
410,1124.0,648.0,1403.0
411,1125.0,649.0,1409.0
412,1126.0,650.0,1415.0
413,1127.0,651.0,1418.0
414,1128.0,652.0,1419.0
415,1129.0,653.0,1421.0
416,1130.0,654.0,1435.0
417,1131.0,655.0,1437.0
418,1132.0,656.0,1438.0
419,1133.0,657.0,1439.0
420,1134.0,4608.0,1441.0
421,1135.0,659.0,1443.0
422,1136.0,660.0,1448.0
423,1137.0,661.0,1451.0
424,1138.0,662.0,1453.0
425,1139.0,663.0,1455.0
426,1140.0,664.0,3504.0
427,1141.0,666.0,1457.0
428,1142.0,668.0,1458.0
429,1143.0,669.0,1459.0
430,1144.0,670.0,1461.0
431,1145.0,727.0,1462.0
432,1146.0,736.0,1464.0
433,1147.0,737.0,1470.0
434,1148.0,745.0,1474.0
435,1149.0,752.0,1479.0
436,1150.0,753.0,1480.0
437,1151.0,754.0,4365.0
438,1152.0,755.0,1484.0
439,1153.0,761.0,1486.0
440,1154.0,766.0,1488.0
441,1155.0,773.0,1494.0
442,1156.0,780.0,1501.0
443,1157.0,781.0,1503.0
444,1158.0,782.0,1504.0
445,1159.0,783.0,1508.0
446,1160.0,788.0,1510.0
447,1161.0,792.0,1511.0
448,1162.0,793.0,1512.0
449,1163.0,794.0,1513.0
450,1164.0,795.0,1521.0
451,1165.0,796.0,1523.0
452,1166.0,798.0,1524.0
453,1167.0,799.0,1525.0
454,1168.0,803.0,1526.0
455,1169.0,804.0,1527.0
456,1170.0,805.0,1531.0
457,1171.0,807.0,1532.0
458,1172.0,808.0,1533.0
459,1173.0,810.0,1534.0
460,1174.0,812.0,1536.0
461,1175.0,815.0,3586.0
462,1176.0,819.0,1539.0
463,1177.0,820.0,1541.0
464,1178.0,822.0,1542.0
465,1179.0,824.0,3590.0
466,1181.0,825.0,1544.0
467,1182.0,832.0,1545.0
468,1183.0,833.0,1552.0
469,1184.0,837.0,1558.0
470,1185.0,840.0,1559.0
471,1186.0,841.0,1560.0
472,1187.0,843.0,1563.0
473,1189.0,846.0,3614.0
474,1190.0,847.0,1567.0
475,1191.0,848.0,1569.0
476,1192.0,850.0,1570.0
477,1193.0,853.0,1571.0
478,1194.0,854.0,1579.0
479,1195.0,855.0,1588.0
480,1197.0,857.0,3637.0
481,1198.0,859.0,1591.0
482,1199.0,860.0,1592.0
483,1200.0,863.0,1593.0
484,1201.0,867.0,1595.0
485,1202.0,868.0,1596.0
486,1203.0,871.0,1598.0
487,1204.0,874.0,3647.0
488,1205.0,875.0,1602.0
489,1206.0,876.0,1605.0
490,1207.0,877.0,1606.0
491,1208.0,879.0,4390.0
492,1209.0,883.0,1609.0
493,1210.0,885.0,1612.0
494,1211.0,888.0,1614.0
495,1212.0,891.0,3662.0
